task_id,module,system,difficulty,law_version,noise,code_assisted,status,task_completed,run_experiment_calls,run_experiment_success_calls,evaluate_calls,evaluate_success_calls,has_final_law,protocol_core_ok,protocol_full_ok,l2_not_updated_warning,total_tokens,exact_accuracy,rmsle,symbolic_equivalent,evaluation_error
nb_0001_m0_gravity_easy_vanilla_equation_v0_n0p0,m0_gravity,vanilla_equation,easy,v0,0.0,False,completed,True,1,1,0,0,True,True,False,True,12478,,,,
nb_0002_m0_gravity_easy_simple_system_v0_n0p0,m0_gravity,simple_system,easy,v0,0.0,False,completed,False,2,2,2,2,True,False,False,True,29644,0.0,2.3760360511868415,False,
nb_0003_m0_gravity_easy_complex_system_v0_n0p0,m0_gravity,complex_system,easy,v0,0.0,False,completed,False,2,2,2,2,True,False,False,True,54344,0.0,0.6016915539036696,False,
nb_0004_m10_be_distribution_easy_vanilla_equation_v0_n0p0,m10_be_distribution,vanilla_equation,easy,v0,0.0,False,completed,True,9,9,4,4,True,True,True,True,77234,1.0,2.3277889033918579e-10,True,
nb_0005_m10_be_distribution_easy_simple_system_v0_n0p0,m10_be_distribution,simple_system,easy,v0,0.0,False,completed,False,6,6,2,2,True,False,False,True,35817,0.0,,False,Failed to execute or evaluate submitted code: float division by zero
nb_0006_m10_be_distribution_easy_complex_system_v0_n0p0,m10_be_distribution,complex_system,easy,v0,0.0,False,completed,False,2,2,1,1,True,False,False,True,27406,0.0,,False,Failed to execute or evaluate submitted code: float division by zero
nb_0007_m11_heat_transfer_easy_vanilla_equation_v0_n0p0,m11_heat_transfer,vanilla_equation,easy,v0,0.0,False,completed,True,1,1,1,1,True,True,True,True,35509,1.0,0.0,True,
nb_0008_m11_heat_transfer_easy_simple_system_v0_n0p0,m11_heat_transfer,simple_system,easy,v0,0.0,False,completed,False,1,1,1,1,True,False,False,True,75072,0.0,4.821544282779097,False,
nb_0009_m11_heat_transfer_easy_complex_system_v0_n0p0,m11_heat_transfer,complex_system,easy,v0,0.0,False,completed,True,1,1,1,1,True,True,True,True,15103,0.0,7.148711671911172,False,
nb_0010_m1_coulomb_force_easy_vanilla_equation_v0_n0p0,m1_coulomb_force,vanilla_equation,easy,v0,0.0,False,completed,True,2,2,1,1,True,True,True,True,23443,1.0,0.0,True,
nb_0011_m1_coulomb_force_easy_simple_system_v0_n0p0,m1_coulomb_force,simple_system,easy,v0,0.0,False,completed,False,2,2,1,1,True,False,False,True,24356,0.0,1.224390317337159,False,
nb_0012_m1_coulomb_force_easy_complex_system_v0_n0p0,m1_coulomb_force,complex_system,easy,v0,0.0,False,completed,False,2,2,2,2,True,False,False,True,28905,0.0,20.614043444614776,False,
nb_0013_m2_magnetic_force_easy_vanilla_equation_v0_n0p0,m2_magnetic_force,vanilla_equation,easy,v0,0.0,False,completed,True,1,1,1,1,True,True,True,True,23155,1.0,0.0,True,
nb_0014_m2_magnetic_force_easy_simple_system_v0_n0p0,m2_magnetic_force,simple_system,easy,v0,0.0,False,completed,False,2,2,2,2,True,False,False,True,26550,0.0,4.1150412838213075,False,
nb_0015_m2_magnetic_force_easy_complex_system_v0_n0p0,m2_magnetic_force,complex_system,easy,v0,0.0,False,completed,False,1,1,1,1,True,False,False,True,30857,0.0,4.101225679178012,False,
nb_0016_m3_fourier_law_easy_vanilla_equation_v0_n0p0,m3_fourier_law,vanilla_equation,easy,v0,0.0,False,completed,False,2,2,2,2,True,False,False,True,25259,0.0,2.2218562482497157,False,
nb_0017_m3_fourier_law_easy_simple_system_v0_n0p0,m3_fourier_law,simple_system,easy,v0,0.0,False,completed,True,1,1,1,1,True,True,True,True,25822,0.0,2.248782368878956,False,
nb_0018_m3_fourier_law_easy_complex_system_v0_n0p0,m3_fourier_law,complex_system,easy,v0,0.0,False,completed,True,1,1,1,1,True,True,True,True,65304,0.0,0.8032805505385496,False,
